RELATIONSHIPID	CONCEPTID1	RELATIONSHIPTYPE	CONCEPTID2	CHARACTERISTICTYPE	REFINABILITY	RELATIONSHIPGROUP
677636028	314318009	123005000	302553009	3	0	0
662456027	303519002	123005000	229765004	3	0	0
1903035029	70104002	272741003	182353008	1	2	0
90653022	272103003	116680003	272099008	0	0	0
153935020	346325008	116680003	17386008	0	0	0
2687535024	414284002	116680003	413477004	0	0	0
1960344025	274380008	260686004	129433002	0	1	1
666508022	118839001	363704007	71854001	0	1	0
261417025	69695003	116680003	312534007	0	0	0
3078615027	176305004	260686004	129303008	0	1	1
827800027	61747003	123005000	262225004	3	0	0
3039282027	2704003	263502005	424124008	0	1	0
91227026	272627002	116680003	49596003	0	0	0
1883060028	299717005	272741003	182353008	1	2	0
132445028	118856009	116680003	118717007	0	0	0
179527023	362267007	116680003	62816002	0	0	0
179348021	362205002	116680003	45308003	0	0	0
2951595021	420497006	42752001	420740008	0	1	0
726677023	21793004	123005000	38266002	3	0	0
278311024	80146002	116680003	8613002	0	0	0
2569676024	108305003	363703001	262202000	0	1	0
3253024024	288122006	363700003	19227008	0	1	1
2223796022	119552005	116680003	363662004	0	0	0
1677227028	52621004	116680003	118851004	0	0	0
3201262029	360524005	149016008	244231007	2	0	0
165486024	129428001	116680003	363675004	0	0	0
1199595020	38850007	246112005	272141005	1	2	0
64091023	245524004	116680003	31094006	0	0	0
1738820025	272673000	123005000	278858007	3	0	0
1456715028	212766001	246112005	272141005	1	2	0
